RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom 1,What is your job title?,For how many years have you worked in your <strong>current</strong> position?,For how many years <strong>total</strong> have you worked in a library setting?,Select the scientific area(s) you support in your data-related work.,,,,,,,"In an average week, what percentage of your time do you spend on data-related work and other work? (The sum of your responses should add up to 100.)",,Which of the following educational experience or training have you completed?  Check all that apply.,,,,,,,Data management,,,,,,,,,,Technology and IT,,,,,Evaluation and assessment,,,Teaching and instruction,,,,,Library services,,,,,,Marketing and outreach,,,,Professional involvement,,,Skills and personal attributes,,,,,,,Educational background,,,,,What other skills not included in the list on the last page do you consider important to your work in your current position?,Please share any other additional thoughts or comments you have related to skills and competencies for data specialists.
,,,,,,,,,Open-Ended Response,Open-Ended Response,Open-Ended Response,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Other (please specify),Percent of time spent on data-related work,Percent of time spent on other work,ALA-accredited masters degree,Science masters degree,"Other non-ALA, non-science masters degree",Undergraduate science degree,PhD (any discipline),Specialized librarianship certification (such as data or medical library certification),"Other non-degree, non-certificate training in data, science, or specialized librarianship",Data management planning,"Data preservation, curation, or stewardship",Applying or developing ontologies or metadata,"Support for data resources (such as NCBI and other molecular biology databases, data repositories, etc)",Support for clinical data management,Support for general data management,Bioinformatics support,Support for data use and analysis,Support for institutional repository,Development of data services,Data visualization,"Scientific programming (such as R, Python, Javascript, etc)","Statistical software (such as SAS, SPSS, MATLAB, etc)",Developing and maintaining web sites,GIS software and data,Evaluation of classes or instructional programs,Evaluation of services,Needs assessment,Course-integrated instruction,Development of course content or curricula,"Development of online tutorials, course materials, or instructional guides",One-on-one consultation or instruction,Staff/librarian training,Collection development,Library and institutional committee service,Reference support,Literature searching and systematic review support,"Scholarly communication support (copyright, support for scholarly publishing, etc)",Cataloging,Data-specific liaison services,General library liaison services,Social media,"Developing relationships with researchers, faculty, etc",AHIP membership,Participation in continuing education or professional development activities,Conducting research and/or writing journal articles,Customer service skills,Innovation and creativity,Oral communication and presentation skills,Written communication skills,Teaching skills,Teamwork and interpersonal skills,Management and leadership skills,"ALA-accredited master's degree (i.e. MLS, MLIS, or equivalent)",Certificate or specialized education in data,Bachelor's degree in a science or biomedical field,Graduate degree in a science or biomedical field,PhD or doctoral degree,Open-Ended Response,Open-Ended Response
redacted,redacted,redacted,redacted,,,,,,redacted,3,5,,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Everything except the college of medicine,80,20,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,,,,Absolutely essential,Very important,Very important,Very important,Important,Absolutely essential,Important,Important,Important,Absolutely essential,Important,Important,Important,Slightly important,Important,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Not at all important,Not at all important,Not at all important,Slightly important,Very important,Not at all important,Very important,Very important,Important,Absolutely essential,Don't know or N/A,Absolutely essential,Absolutely essential,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Slightly important,Not at all important,Slightly important,Absolutely essential,Not at all important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,,,,,,,,,,,,,,,,,,,Very important,Absolutely essential,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Don't know or N/A,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Very important,Absolutely essential,Slightly important,Slightly important,Important,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Not at all important,Slightly important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Slightly important,Slightly important,Slightly important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,10,18,Biomedical and/or health sciences,,,,,Social sciences,,60,40,ALA-accredited master’s degree,,"Other non-ALA, non-science master’s degree",,,Specialized librarianship certification (such as data or medical library certification),"Other non-degree, non-certificate training in data, science, or specialized librarianship",Very important,Very important,Absolutely essential,Important,Important,Absolutely essential,Slightly important,Important,Absolutely essential,Absolutely essential,Important,Slightly important,Important,Very important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Slightly important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,1,17,Biomedical and/or health sciences,,Physical sciences,,,,Data Science,45,55,ALA-accredited master’s degree,Science master’s degree,,,,,,Very important,Important,Important,Important,Very important,Very important,Absolutely essential,Absolutely essential,Important,Absolutely essential,Important,Important,Important,Slightly important,Important,Important,Very important,Very important,Very important,Very important,Important,Absolutely essential,Absolutely essential,Important,Important,Very important,Absolutely essential,Important,Slightly important,Very important,Very important,Important,Absolutely essential,Not at all important,Very important,Absolutely essential,Important,Important,Very important,Absolutely essential,Absolutely essential,Important,Important,Very important,Important,Very important,Very important,Important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,7,30,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,,Social sciences,,50,50,ALA-accredited master’s degree,,,,,,,Slightly important,,,Absolutely essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,2,9,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,25,75,ALA-accredited master’s degree,,,,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Not at all important,Absolutely essential,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Not at all important,Absolutely essential,Very important,Important,Absolutely essential,Very important,Absolutely essential,Important,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Absolutely essential,Not at all important,Not at all important,Not at all important,Not at all important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,13,15,Biomedical and/or health sciences,,,,,,,25,75,ALA-accredited master’s degree,,,Undergraduate science degree,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,8,8,Biomedical and/or health sciences,,,,Engineering and/or computer science,Social sciences,,20,80,,Science master’s degree,,,,,,Absolutely essential,Very important,Absolutely essential,Don't know or N/A,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Important,Very important,Slightly important,Very important,Very important,Very important,Absolutely essential,Very important,Very important,Important,Important,Important,Very important,Very important,Absolutely essential,Very important,Very important,Important,Very important,redacted,redacted
redacted,redacted,redacted,redacted,,,,,,redacted,1,6,Biomedical and/or health sciences,,,,,,,80,20,ALA-accredited master’s degree,,,,,,,Very important,Absolutely essential,Important,Important,Very important,Absolutely essential,Absolutely essential,Important,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Important,Important,Very important,Absolutely essential,Absolutely essential,Important,Important,Very important,Absolutely essential,Very important,Slightly important,Very important,Very important,Important,Very important,Slightly important,Absolutely essential,Very important,Very important,Absolutely essential,Slightly important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Important,Important,Slightly important,redacted,redacted
